Lam,logF03,logF04,logF05,logF06,logF07,logF08,logF09,logF10
1385.0,-0.2580,-0.3610,-0.4485,-0.2530,-0.2645,-0.2790,-0.2935,-0.3320
1395.0,-0.2630,-0.3670,-0.4545,-0.2580,-0.2705,-0.2840,-0.2995,-0.3370
1405.0,-0.2680,-0.3720,-0.4605,-0.2630,-0.2745,-0.2890,-0.3045,-0.3430
1415.0,-0.2730,-0.3780,-0.4665,-0.2680,-0.2805,-0.2940,-0.3095,-0.3480
1425.0,-0.2790,-0.3840,-0.4735,-0.2730,-0.2855,-0.3000,-0.3145,-0.3540
1435.0,-0.2830,-0.3890,-0.4785,-0.2780,-0.2905,-0.3040,-0.3195,-0.3590
1445.0,-0.2890,-0.3960,-0.4855,-0.2830,-0.2955,-0.3100,-0.3255,-0.3650
1454.4,-0.2870,-0.3960,-0.4875,-0.2820,-0.2945,-0.3090,-0.3245,-0.3650
1464.4,-0.2950,-0.4040,-0.4945,-0.2900,-0.3015,-0.3160,-0.3325,-0.3720
1475.0,-0.3010,-0.4100,-0.5015,-0.2950,-0.3075,-0.3220,-0.3385,-0.3780
1485.0,-0.3000,-0.4100,-0.5025,-0.2940,-0.3065,-0.3210,-0.3375,-0.3780
1495.0,-0.2990,-0.4100,-0.5025,-0.2940,-0.3065,-0.3210,-0.3365,-0.3780
1510.0,-0.3030,-0.4140,-0.5075,-0.2970,-0.3095,-0.3250,-0.3405,-0.3820
1530.0,-0.3040,-0.4190,-0.5135,-0.2980,-0.3115,-0.3270,-0.3425,-0.3850
1550.0,-0.3100,-0.4240,-0.5195,-0.3040,-0.3165,-0.3320,-0.3485,-0.3900
1570.0,-0.3140,-0.4300,-0.5255,-0.3070,-0.3205,-0.3360,-0.3525,-0.3950
1590.0,-0.3260,-0.4430,-0.5385,-0.3190,-0.3325,-0.3480,-0.3645,-0.4070
1610.0,-0.3340,-0.4520,-0.5485,-0.3270,-0.3405,-0.3560,-0.3725,-0.4160
1630.0,-0.3360,-0.4550,-0.5525,-0.3300,-0.3435,-0.3590,-0.3755,-0.4190
1650.0,-0.3430,-0.4630,-0.5605,-0.3360,-0.3495,-0.3660,-0.3825,-0.4260
1670.0,-0.3420,-0.4630,-0.5615,-0.3360,-0.3495,-0.3650,-0.3825,-0.4260
1690.0,-0.3450,-0.4680,-0.5685,-0.3380,-0.3525,-0.3680,-0.3855,-0.4310
1800.0,-0.3990,-0.5230,-0.6245,-0.3930,-0.4065,-0.4230,-0.4405,-0.4860
2700.0,-0.9360,-1.0890,-1.2015,-0.9270,-0.9425,-0.9620,-0.9815,-1.0340
